Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404738""","=""9780756404734""",5,4.55,DAW Books,Hardcover,994,2011,2011,,2016/12/29,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",5,4.52,Penguin Group DAW,Hardcover,662,2007,2007,,2016/12/29,,,read,,,,1,0
1814843,"The Siege of Macindaw (Ranger's Apprentice, #6)",John Flanagan,"Flanagan, John",,"=""174166134X""","=""9781741661347""",5,4.34,Puffin Books,Paperback,320,2006,2006,,2016/10/24,,,read,,,,1,0
1524173,"The Sorcerer of the North (Ranger's Apprentice, #5)",John Flanagan,"Flanagan, John",,"=""1741661285""","=""9781741661286""",5,4.27,Penguin Group (USA),Paperback,304,2009,2006,,2016/10/24,,,read,,,,1,0
127823,"The Icebound Land (Ranger's Apprentice, #3)",John Flanagan,"Flanagan, John",,"=""0399244565""","=""9780399244568""",5,4.24,Viking Books for Young Readers,Hardcover,266,2007,2005,,2016/10/24,,,read,,,,1,0
144350,"The Battle for Skandia (Ranger's Apprentice, #4)",John Flanagan,"Flanagan, John",,"=""0399244573""","=""9780399244575""",5,4.35,Viking Books for Young Readers,Hardcover,294,2008,2006,,2016/10/24,,,read,,,,1,0
144349,"The Burning Bridge (Ranger's Apprentice, #2)",John Flanagan,"Flanagan, John",,"=""0399244557""","=""9780399244551""",5,4.31,Viking Books for Young Readers,Hardcover,262,2006,2005,,2016/10/24,,,read,,,,1,0
60400,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,"Flanagan, John",,"=""0142406635""","=""9780142406632""",5,4.24,Puffin Books,Paperback,249,2006,2004,,2016/10/24,,,read,,,,1,0
53747,Dune,Frank Herbert,"Herbert, Frank",,"=""044100590X""","=""9780441005901""",0,4.26,Ace ,Hardcover,517,1999,1965,,2016/10/24,to-read,to-read (#5),to-read,,,,0,0
312407,The Golden Compass,Philip Pullman,"Pullman, Philip",,"=""""","=""""",0,4.01,Yearling,Paperback,399,2001,1995,,2016/10/24,,,read,,,,1,0
18119,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,"Pullman, Philip",,"=""0440238145""","=""9780440238140""",0,4.14,Laurel Leaf,Mass Market Paperback,288,2003,1997,,2016/10/24,,,read,,,,1,0
4248,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,"=""1400079179""","=""9781400079179""",0,3.90,Anchor,Paperback,597,2009,2003,,2016/10/24,,,read,,,,1,0
4101922,"Genghis: Bones of the Hills (Conqueror, # 3)",Conn Iggulden,"Iggulden, Conn",,"=""0385339534""","=""9780385339537""",0,4.37,Delacorte Press,Hardcover,416,2009,2009,,2016/10/24,to-read,to-read (#4),to-read,,,,0,0
10357575,"1Q84 (1Q84, #1-3)",Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",0,3.94,Knopf,Hardcover,925,2011,2009,,2016/10/24,to-read,to-read (#3),to-read,,,,0,0
20345005,Far-Flung Adventures: Corby Flood,Paul Stewart,"Stewart, Paul",Chris Riddell,"=""""","=""""",0,3.97,David Fickling Books,Hardcover,256,2006,2005,,2016/10/24,to-read,to-read (#2),to-read,,,,0,0
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",0,4.00,William Morrow,Hardcover,268,2006,2005,,2016/10/24,,,read,,,,1,0
83369,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,"Stewart, Trenton Lee",Carson Ellis,"=""0316057770""","=""9780316057776""",0,4.19,"Little, Brown and Company",Hardcover,486,2007,2007,,2016/10/24,to-read,to-read (#1),to-read,,,,0,0
